2025-12-29 12:54:37,935 - INFO - Usage log: Node STORE, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 469, 'total_tokens': 488, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.300675630569458}
2025-12-29 12:54:39,307 - INFO - Usage log: Node 10CJA00DT100STORE, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 480, 'total_tokens': 501, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3668844699859619}
2025-12-29 12:54:39,308 - INFO - Usage log: Node 测点SGC.DANYANG_2.20MAY10EC001_ESVCLSD, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 476, 'total_tokens': 496, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3554348945617676}
2025-12-29 12:54:39,308 - INFO - Usage log: Node YIXING_1 电厂, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 479, 'total_tokens': 496, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.31063151359558105}
2025-12-29 12:54:39,309 - INFO - Usage log: Node 测点SGC.CHANGXING_1.10CJA00DT100STORE, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 480, 'total_tokens': 496, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2966928482055664}
2025-12-29 12:54:39,310 - INFO - Usage log: Node 20 区域, completion_usage: {'completion_tokens': 23, 'prompt_tokens': 461, 'total_tokens': 484, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.33701515197753906}
2025-12-29 12:54:39,311 - INFO - Usage log: Node 中压给水泵A驱动端径向轴承座Y向振动, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 479, 'total_tokens': 498, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.302168607711792}
2025-12-29 12:54:39,311 - INFO - Usage log: Node XB01, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 473, 'total_tokens': 489, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.27379417419433594}
2025-12-29 12:54:39,312 - INFO - Usage log: Node 26 区域, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 460, 'total_tokens': 478, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2757852077484131}
2025-12-29 12:54:39,313 - INFO - Usage log: Node PAC 主系统, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 478, 'total_tokens': 498, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.28972363471984863}
2025-12-29 12:54:39,313 - INFO - Usage log: Node SGC.CHUZHOU_1.10MBH22CP102XQ01, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 473, 'total_tokens': 490, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2862379550933838}
2025-12-29 12:54:39,314 - INFO - Usage log: Node 10 号机组, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 464, 'total_tokens': 484, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3126225471496582}
2025-12-29 12:54:39,314 - INFO - Usage log: Node EZ621, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 473, 'total_tokens': 490, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.28524231910705566}
2025-12-29 12:54:39,988 - INFO - Usage log: Node 测点SGC.FENGQUAN_2.20MKY01EZ245XB01, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 484, 'total_tokens': 504, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3101341724395752}
2025-12-29 12:54:39,989 - INFO - Usage log: Node ST AX BRG S POSN, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 478, 'total_tokens': 498, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.36638569831848145}
2025-12-29 12:54:39,990 - INFO - Usage log: Node 中压汽包连排电动调节阀, completion_usage: {'completion_tokens': 25, 'prompt_tokens': 483, 'total_tokens': 508, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3892850875854492}
2025-12-29 12:54:39,991 - INFO - Usage log: Node MBH 主系统, completion_usage: {'completion_tokens': 22, 'prompt_tokens': 477, 'total_tokens': 499, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.38480472564697266}
2025-12-29 12:54:39,992 - INFO - Usage log: Node 100, completion_usage: {'completion_tokens': 8, 'prompt_tokens': 454, 'total_tokens': 462, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.20559453964233398}
2025-12-29 12:54:39,992 - INFO - Usage log: Node 26. HEFEI_2 电厂, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 458, 'total_tokens': 475, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2767808437347412}
2025-12-29 12:54:39,993 - INFO - Usage log: Node 02PAC01UC020XQ01, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 487, 'total_tokens': 508, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3395042419433594}
2025-12-29 12:54:39,994 - INFO - Usage log: Node 设备 CY011, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 479, 'total_tokens': 500, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3355221748352051}
2025-12-29 12:54:39,995 - INFO - Usage log: Node 测点SGC.JIANGYIN_2.20MAD12CY011XQ01, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 475, 'total_tokens': 494, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3205873966217041}
2025-12-29 12:54:39,995 - INFO - Usage log: Node 69. FENGQUAN_1 电厂, completion_usage: {'completion_tokens': 13, 'prompt_tokens': 459, 'total_tokens': 472, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2464141845703125}
2025-12-29 12:54:39,996 - INFO - Usage log: Node 20MBA26CT108AXQ01, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 487, 'total_tokens': 506, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3031642436981201}
2025-12-29 12:54:39,997 - INFO - Usage log: Node _XK94, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 475, 'total_tokens': 494, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.30515527725219727}
2025-12-29 12:54:39,997 - INFO - Usage log: Node HEFEI_1 电厂, completion_usage: {'completion_tokens': 15, 'prompt_tokens': 477, 'total_tokens': 492, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2713048458099365}
2025-12-29 12:54:39,998 - INFO - Usage log: Node 测点SGC.YIXING_1.10MAA50EZ621_XK94, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 472, 'total_tokens': 489, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2862389087677002}
2025-12-29 12:54:39,999 - INFO - Usage log: Node CT, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 451, 'total_tokens': 468, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.26981139183044434}
2025-12-29 12:54:39,999 - INFO - Usage log: Node 设备 AA102, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 463, 'total_tokens': 480, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.276780366897583}
2025-12-29 12:54:40,608 - INFO - Usage log: Node MAY 主系统, completion_usage: {'completion_tokens': 22, 'prompt_tokens': 471, 'total_tokens': 493, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.37136411666870117}
2025-12-29 12:54:40,609 - INFO - Usage log: Node mm, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 474, 'total_tokens': 493, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3190937042236328}
2025-12-29 12:54:40,610 - INFO - Usage log: Node 102, completion_usage: {'completion_tokens': 11, 'prompt_tokens': 475, 'total_tokens': 486, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2329719066619873}
2025-12-29 12:54:40,610 - INFO - Usage log: Node 设备 AA101, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 463, 'total_tokens': 482, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3315393924713135}
2025-12-29 12:54:40,611 - INFO - Usage log: Node MKY 主系统, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 469, 'total_tokens': 487, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.32108497619628906}
2025-12-29 12:54:40,612 - INFO - Usage log: Node 循环水泵2变频器柜电机电流, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 478, 'total_tokens': 495, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.31610751152038574}
2025-12-29 12:54:40,613 - INFO - Usage log: Node MBV 主系统, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 460, 'total_tokens': 476, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.30117321014404297}
2025-12-29 12:54:40,613 - INFO - Usage log: Node 设备 AP022, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 463, 'total_tokens': 480, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.310133695602417}
2025-12-29 12:54:40,614 - INFO - Usage log: Node 13 区域, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 484, 'total_tokens': 505, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.27777647972106934}
2025-12-29 12:54:40,615 - INFO - Usage log: Node 测点SGC.CHANGXING_1.10MAD13CT014A232203OUT, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 478, 'total_tokens': 496, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.27379417419433594}
2025-12-29 12:54:40,616 - INFO - Usage log: Node XQ01, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 474, 'total_tokens': 490, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.24940133094787598}
2025-12-29 12:54:40,616 - INFO - Usage log: Node 022, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 454, 'total_tokens': 472, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.27379393577575684}
2025-12-29 12:54:40,617 - INFO - Usage log: Node 测点SGC.HEFEI_2.02PAC01UC020XQ01, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 473, 'total_tokens': 489, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.25786352157592773}
2025-12-29 12:54:40,618 - INFO - Usage log: Node YB02, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 474, 'total_tokens': 490, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.25637125968933105}
2025-12-29 12:54:40,618 - INFO - Usage log: Node 测点SGC.GANLU_1.10MBH22AA102XC91, completion_usage: {'completion_tokens': 15, 'prompt_tokens': 484, 'total_tokens': 499, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.23347020149230957}
2025-12-29 12:54:40,619 - INFO - Usage log: Node TURBINE EXHAUST GAS TEMP A 8, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 481, 'total_tokens': 498, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.23396897315979004}
2025-12-29 12:54:41,250 - INFO - Usage log: Node 设备 CT108, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 463, 'total_tokens': 481, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.28424763679504395}
2025-12-29 12:54:41,252 - INFO - Usage log: Node AA102, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 472, 'total_tokens': 493, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3275570869445801}
2025-12-29 12:54:41,252 - INFO - Usage log: Node AH001, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 474, 'total_tokens': 491, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2917149066925049}
2025-12-29 12:54:41,253 - INFO - Usage log: Node DU, completion_usage: {'completion_tokens': 22, 'prompt_tokens': 474, 'total_tokens': 496, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3459761142730713}
2025-12-29 12:54:41,254 - INFO - Usage log: Node AA, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 472, 'total_tokens': 493, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.33601975440979004}
2025-12-29 12:54:41,255 - INFO - Usage log: Node 21 区域, completion_usage: {'completion_tokens': 22, 'prompt_tokens': 460, 'total_tokens': 482, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3629012107849121}
2025-12-29 12:54:41,256 - INFO - Usage log: Node XQ11XQ12, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 483, 'total_tokens': 499, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.27478909492492676}
2025-12-29 12:54:41,256 - INFO - Usage log: Node 测点SGC.CHUZHOU_1.10MBY10DU061XQ01, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 477, 'total_tokens': 498, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3275563716888428}
2025-12-29 12:54:41,257 - INFO - Usage log: Node 01LAC20BG112, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 477, 'total_tokens': 495, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.28823018074035645}
2025-12-29 12:54:41,258 - INFO - Usage log: Node 10MBH22CP102XQ01, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 486, 'total_tokens': 503, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2613487243652344}
2025-12-29 12:54:41,259 - INFO - Usage log: Node MAD 主系统, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 483, 'total_tokens': 502, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.28574132919311523}
2025-12-29 12:54:41,259 - INFO - Usage log: Node 设备 CT014, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 486, 'total_tokens': 506, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.27478933334350586}
2025-12-29 12:54:41,260 - INFO - Usage log: Node CHANGXING_1 电厂, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 487, 'total_tokens': 507, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2862389087677002}
2025-12-29 12:54:41,261 - INFO - Usage log: Node 设备 DU061, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 482, 'total_tokens': 502, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2832520008087158}
2025-12-29 12:54:41,262 - INFO - Usage log: Node AXQ01, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 474, 'total_tokens': 493, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.27478909492492676}
2025-12-29 12:54:41,263 - INFO - Usage log: Node FENGQUAN_2 电厂, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 473, 'total_tokens': 491, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2399427890777588}
2025-12-29 12:54:41,896 - INFO - Usage log: Node %, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 476, 'total_tokens': 496, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.348463773727417}
2025-12-29 12:54:41,897 - INFO - Usage log: Node LUBE OIL HEATER TRIP, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 478, 'total_tokens': 496, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2932090759277344}
2025-12-29 12:54:41,898 - INFO - Usage log: Node 测点SGC.FENGQUAN_1.10MBV10AH001ZV60, completion_usage: {'completion_tokens': 23, 'prompt_tokens': 475, 'total_tokens': 498, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.37534642219543457}
2025-12-29 12:54:41,899 - INFO - Usage log: Node SGC.JIANGYIN_2.20MAD12CY011XQ01, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 476, 'total_tokens': 496, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3285517692565918}
2025-12-29 12:54:41,899 - INFO - Usage log: Node CP, completion_usage: {'completion_tokens': 14, 'prompt_tokens': 451, 'total_tokens': 465, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2623441219329834}
2025-12-29 12:54:41,900 - INFO - Usage log: Node XC91, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 472, 'total_tokens': 492, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3355216979980469}
2025-12-29 12:54:41,901 - INFO - Usage log: Node CY, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 473, 'total_tokens': 489, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.28574037551879883}
2025-12-29 12:54:41,902 - INFO - Usage log: Node HAD 主系统, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 461, 'total_tokens': 478, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2912166118621826}
2025-12-29 12:54:41,903 - INFO - Usage log: Node 设备 EZ245, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 463, 'total_tokens': 480, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2688150405883789}
2025-12-29 12:54:41,903 - INFO - Usage log: Node 20, completion_usage: {'completion_tokens': 8, 'prompt_tokens': 458, 'total_tokens': 466, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.16477322578430176}
2025-12-29 12:54:41,904 - INFO - Usage log: Node UC, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 451, 'total_tokens': 468, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.27628326416015625}
2025-12-29 12:54:41,905 - INFO - Usage log: Node GEN. GCB FAILURE PROTECTION CH.B, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 478, 'total_tokens': 499, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3046584129333496}
2025-12-29 12:54:41,905 - INFO - Usage log: Node 014, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 481, 'total_tokens': 500, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2648341655731201}
2025-12-29 12:54:41,906 - INFO - Usage log: Node LAC 主系统, completion_usage: {'completion_tokens': 15, 'prompt_tokens': 461, 'total_tokens': 476, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.22998809814453125}
2025-12-29 12:54:41,907 - INFO - Usage log: Node FENGQUAN_1 电厂, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 476, 'total_tokens': 496, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.28175950050354004}
2025-12-29 12:54:41,908 - INFO - Usage log: Node CT108, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 473, 'total_tokens': 490, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.24840593338012695}
2025-12-29 12:54:42,611 - INFO - Usage log: Node 测点SGC.HEFEI_1.01LAC20BG112, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 466, 'total_tokens': 482, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.27329587936401367}
