node,conceptualized_node,node_type
245,"数字, 编号, 序列号, 标识符, 设备号",entity
114,"编号, 序列号, 设备号, 代码",entity
测点SGC.CHANGXING_1.10LAE02CF101XQ01,"测点, 传感器, 数据点, 监测点, 参数, 设备, 位置",entity
中压给水泵A非驱动端径向轴承座X向振动,"振动, 轴承, 机械, 设备, 监测, 参数",entity
LAB主系统的72区域,"区域, 系统, 测点, 监测点, 控制区, 设备区",entity
凝结水泵A电流,"电流, 参数, 电气量, 测量值, 运行数据",entity
Output Value,"输出值, 数据, 信号, 指标, 参数",entity
SGC.CHUZHOU_2.02MBL13CP101XQ01,"测点, 编码, 设备标识, 位置, 系统节点",entity
测点SGC.HEFEI_1.01LAC20BG114,"测点, 设备, 位置, 传感器, 系统节点",entity
测点SGC.FENGQUAN_2.20MKY01EZ245XB01,"测点, 设备, 传感器, 监控点, 信号点, 电气节点",entity
中压给水泵A驱动端径向轴承座Y向振动,"振动, 轴承座, 机械故障, 传感器测点, 设备状态",entity
SGC.CUISHANHU_2.20MBL11AA050XM61,"测点, 设备, 代码, 位置, 标识",entity
XQ01XQ11,"测点, 代码, 机组, 电厂, 标识",entity
测点SGC.YIXING_2.20LAB72AA005YB01,"测点, 设备, 传感器, 数据点, 监测点, 位置",entity
SGC.HEFEI_1.01LAC20BG121,"测点, 编码, 设备标识, 系统节点",entity
XB01,"测点, 代码, 标识, 设备, 传感器, 系统",entity
005,"序列号, 设备编号, 标识码, 编号",entity
MAD主系统的13区域,"区域, 系统, 测点, 控制区, 监测点, 位置",entity
EZ,"设备, 仪器, 传感器, 监测点, 系统, 模块",entity
测点SGC.HEFEI_1.01LAC20BG113,"测点, 设备, 传感器, 监测点, 系统节点",entity
014,"序列号, 设备号, 标识码, 编号",entity
中压给水泵A非驱动端径向轴承座Y向振动,"振动异常, 机械故障, 轴承监测, 设备状态, 运行参数",entity
NG_1电厂10号机组,"机组, 电厂, 设备, 系统, 电力, 装置",entity
高压旁路喷水流量1,"流量, 测点, 参数, 信号, 数据, 监测",entity
SGC.CHANGXING_1.10MAD13CT014A232203OUT,"测点, kks码, 设备编号, 标识符, 工程代码",entity
LAE主系统的02区域,"区域, 系统, 测点, 控制区, 工程单元",entity
null,"测点, 测量值, 单位, 数据, 传感器, 位置",entity
SGC.FENGQUAN_2.20MKY01EZ245XB01,"测点, 设备, 代码, 标识, 系统节点",entity
测点SGC.CUISHANHU_2.20MBL11AA050XM61,"测点, 设备, 监测点, 传感器, 序列号",entity
SOV AUX. CONTACT INCONSISTENCY,"语法错误, 语言不一致, 结构异常",entity
XQ11XQ12,"测点, 代码, 标识, 设备, 传感器",entity
112,"编号, 序列号, 设备标识, 标识符, 代码",entity
MBL主系统的11区域,"区域, 系统, 测点, 位置, 模块",entity
LAC主系统的20区域,"区域, 系统, 测点, 控制区, 20区, 工程区",entity
功能描述为,"实现功能, 执行作用, 承担职责, 提供服务",relation
位于,"在...之中, 处于...位置, 置于, 定位, 所在地",relation
对应的KKS码为,"对应编码, 关联码, 对应标识, 关联代码",relation
监测的设备序列号是,"设备编号, 监测标识, 序列标识, 设备标识",relation
测量值单位为,"单位, 量纲, 标度, 单位制, 测量单位",relation
应用于,"应用, 作用于, 适用, 实施, 运用",relation
无效代码标识为,"标记为无效, 识别为错误, 标注为无用, 标示为非法",relation
测点无效代码标识为,"无效标识, 标记无效, 代码标注, 无效标记",relation
监测的设备类型是,"监测设备, 监测工具, 检测装置, 监控仪器",relation
测点测量值单位为,"单位, 测量单位, 单位类型, 量纲, 计量单位",relation
