node,conceptualized_node,node_type
20MBA26CT108AXQ01,"编码, 代码, 代号, 标识, 码号",entity
循环水泵2变频器柜电机电流,"设备, 模块, 电气组件, 控制系统, 传感器",entity
061,"设备, 序列号, 编号, 识别码",entity
中压汽包连排电动调节阀,"阀门, 设备, 控制装置, 机械部件, 工业组件, 自动化元件",entity
测点SGC.JIANGYIN_2.20MAD12CY011XQ01,"测点, 标识, 数据点, 传感器, 位置, 代码",entity
MAD 主系统,"系统, 主控, 控制, 模块, 信号, 工程, 平台",entity
100,"数字, 数值, 一百, 量词",entity
JIANGYIN_2 电厂,"电厂, 机组, 电力设施, 发电厂, 能源设施",entity
CT108,"测点, 设备, 传感器, 监测点, 数据点, 仪表",entity
YB02,"测点, 代码, 标识, 设备, 数据点, 传感器",entity
SGC.YIXING_1.10MAV21AP022YB02,"设备, 仪器, 监测装置, 传感器, 系统, 模块",entity
00 区域,"区域, 空间, 分区, 地域, 范围",entity
设备 AA101,"设备, 序列号, 编号, 标识, 装置",entity
55 区域,"区域, 地点, 空间, 位置, 领域",entity
113,"数字, 编号, 序列号, 设备标识",entity
EZ,"设备, 类型, 机器, 硬件, 产品",entity
DANYANG_2.21MBV30CP901XG02,"型号, 设备, 产品, 组件, 系统, 元件",entity
SGC.DANYANG_2.20MAY10EC001_ESVCLSD,"文件, 项目, 编号, 记录, 数据",entity
10 号机组,"机组, 设备, 系统, 装置, 控制单元",entity
°,"度数, 单位, 角度",entity
01 区域,"区域, 区块, 空间, 节点, 部署, 位置",entity
CY,"设备, 仪器, 监测仪, 传感器, 机器",entity
COOL. AIR FLAP 2 STAGE 2 CONTROL,"控制, 装置, 模块, 系统, 传感器, 机械, 信号",entity
设备 EZ245,"设备, 仪器, 监测装置, 传感器, 机械, 系统",entity
SIHUI_2 电厂,"电厂, 设施, 能源站, 发电站, 工程, 电力系统",entity
26 区域,"区域, 区段, 地域, 编号, 部署点, 设备区",entity
BG,"设备, 类型, 产品, 仪器, 机械",entity
DU,"设备, 类型, 单元, 系统",entity
循环水泵2变频器柜电机电压,"设备, 电机, 电压, 控制柜, 变频器, 电气系统",entity
CJA 主系统,"系统, 主机, 控制, 模块, 平台",entity
SGC.CHUZHOU_1.10MBY10DU061XQ01,"设备, 序列号, 监测仪, 识别码, 传感器",entity
MBA 主系统,"系统, 主机, 控制, 模块, 平台, 装置",entity
CHUZHOU_1 电厂,"电厂, 电站, 电力设施, 发电厂, 能源设施, 机组, 设备",entity
测点SGC.YIXING_1.10MAV21AP022YB02,"测点, 监测点, 数据点, 传感器, 位置, 设备节点",entity
SGC.HEFEI_2.02PAC01UC020XQ01,"设备, 系统, 编码, 标识, 代码",entity
10MAD13CT014A232203OUT,"测点, 编码, 标识, 设备号, 代码",entity
CF,"设备, 类型, 产品, 工具, 仪器",entity
20 号机组,"机组, 系统, 电厂, 设备, 装置",entity
中压给水泵A驱动端径向轴承座Y向振动,"振动, 轴承座, 机械故障, 监测点, 设备状态",entity
001,"编号, 序列号, 代码, 标识符, 设备号",entity
10MBH22AA102XC91,"编号, 代码, 识别码, 标识符, 项目号",entity
AH,"设备, 类型, 标识, 编号, 代码",entity
CP,"设备, 类型, 仪器, 系统, 模块",entity
020,"序列号, 设备标识, 编码, 识别码, 代码",entity
69. FENGQUAN_1 电厂,"电厂, 电站, 机组, 能源设施, 发电站",entity
HAD 主系统,"系统, 主控, 控制, 模块, 平台",entity
测点SGC.CHUZHOU_1.10MBH22CP102XQ01,"测点, 传感器, 设备, 位置, 编码, 监测点",entity
EC001,"设备, 监测, 编号, 项目, 系统",entity
20 区域,"区域, 系统, 部署, 空间, 单元",entity
STORE,"存储, 设备, 系统, 数据, 代码",entity
245,"编号, 序列号, 设备标识",entity
10MAV21AP022YB02,"编码, 代码, 标识, 代号, 系统码",entity
测点SGC.HEFEI_1.01LAC20BG113,"测点, 设备, 系统, 编码, 标识",entity
SGC.JIANGYIN_2.20MAD12CY011XQ01,"设备, 项目, 编号, 位置, 资产",entity
22 区域,"区域, 空间, 系统, 部署, 子系统",entity
112,"数字, 编号, 序列号, 设备号",entity
XC91,"测点, 代码, 标识, 设备, 传感器, 数据点",entity
DU061,"设备, 监测仪, 传感器, 仪器, 模块",entity
AA102,"测点, 设备, 监测点, 传感器, 位置, 数据点",entity
设备 AP022,"设备, 仪器, 机械, 装置, 模块, 附件",entity
10MBY10DU061XQ01,"编码, 代码, 标识, 系统, 码头, 设备, 项目",entity
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,"测点, 监测点, 数据点, 传感器, 设备节点",entity
测点SGC.YIXING_1.10MAA50EZ621_XK94,"测点, 标识, 数据点, 代码, 传感器, 位置",entity
MAA 主系统,"系统, 主控, 控制, 平台, 模块, 装置",entity
01LAC20BG113,"编码, 代码, 标识, 系统编号, 测点代码",entity
测点SGC.SIHUI_2.20MBA26CT108AXQ01,"测点, 设备, 传感器, 仪器, 位置",entity
MBV 主系统,"系统, 主机, 设备, 控制中心, 平台",entity
FENGQUAN_1 电厂,"电厂, 电力设施, 发电厂, 能源设施, 电站",entity
XQ01,"代码, 标识, 系统, 项目, 编码, 产品, 识别码",entity
设备 CT108,"设备, 序列号, 部署, 仪器, 编号",entity
AA,"设备, 仪器, 传感器, 监测装置, 测点, 机械, 电子元件",entity
DANYANG_2 电厂,"电厂, 发电站, 能源设施, 电力系统, 工程项目",entity
设备 AH001,"设备, 仪器, 机械, 装置, 系统",entity
20MKY01EZ245XB01,"编码, 代码, 标识, 系统码, 项目号",entity
FENGQUAN_2 电厂,"电厂, 发电厂, 能源设施, 电力站, 设施, 工程, 电站",entity
TURBINE EXHAUST GAS TEMP A 8,"温度, 测点, 参数, 传感器, 数据, 指标",entity
_COMP,"组件, 模块, 代码, 代码段, 功能单元",entity
AP,"设备, 仪器, 监测仪, 传感器, 装置",entity
SGC.HEFEI_2.02PAC01UC020XQ02,"设备, 机组, 电力单元, 项目, 系统",entity
测点SGC.FENGQUAN_1.10MBV10AH001ZV60,"测点, 传感器, 数据点, 监测点, 位置, 设备",entity
022,"序列号, 设备标识, 编码, 标识符",entity
MAV 主系统,"系统, 主机, 控制单元, 模块, 平台",entity
10MBH22CP102XQ01,"测点, 设备, 编码, 传感器, 标识",entity
设备 UC020,"设备, 机器, 硬件, 仪器, 装置",entity
MBH 主系统,"系统, 控制, 设备, 模块, 机械, 平台",entity
设备 CT014,"设备, 仪器, 传感器, 监测装置, 测点, 系统",entity
A232203OUT,"测点, 代码, 标识, 数据, 信号",entity
XQ02,"xq02, 代码, 标识, 项目, 系统, 编码",entity
设备 CF101,"设备, 序列号, 90区, 部署, 识别码",entity
10CJA00DT100STORE,"测点, kks码, 设备标识, 工程编码",entity
设备 BG112,"设备, 监测点, 序列号, 传感器, 仪器",entity
ST AX BRG S POSN,"测点, 功能, 描述, 位置, 数据点, 监测点",entity
20MAD12CY011XQ01,"编码, 代码, 标识, 代号, 系统码",entity
测点SGC.GANLU_1.10MBH22AA102XC91,"测点, 位置, 数据点, 监测点, 设备点, 传感器点",entity
108,"数字, 编号, 序列号",entity
01 号机组,"机组, 系统, 设备, 控制单元, 机械装置",entity
LAE 主系统,"系统, 区域, 机组, 配置, 控制, 平台",entity
AXQ01,"测点, 代码, 标识, 设备, 传感器, 系统",entity
02PAC01UC020XQ02,"代码, 系统, 标识, 编码, 模块",entity
测点SGC.HEFEI_1.01LAC20BG112,"测点, 系统, 设备, 传感器, 位置",entity
SGC.FENGQUAN_2.20MKY01EZ245XB01,"设备, 机器, 电厂, 系统, 装置",entity
设备 CY011,"设备, 仪器, 监测点, 传感器, 机械, 系统",entity
设备 CP102,"设备, 仪器, 监测点, 传感器, 机器, 系统",entity
UNIT TEMP SETP GT,"测点, 设备, 传感器, 参数, 数据点",entity
21 区域,"区域, 空间, 部署点, 设备区, 位置",entity
测点SGC.FENGQUAN_2.20MKY01EZ245XB01,"监测点, 设备节点, 数据采集点, 传感器, 位置标识",entity
EC,"设备, 仪器, 监测装置, 电子组件, 控制单元",entity
UC020,"设备, 监测单元, 系统组件, 传感器, 控制模块",entity
测点SGC.CHANGXING_1.10CJA00DT100STORE,"测点, 标识, 数据点, 传感器, 位置, 监测点",entity
EZ621,"设备, 测点, 监测点, 传感器, 参数, 数据点",entity
014,"编号, 序列号, 设备标识, 监测点, 代码",entity
101,"数字, 编号, 序列号",entity
SGC.ZHOUKOU_2.20LAE90CF101_COMP,"代码, 标识, 无效, 系统, 项目, 编码",entity
YIXING_1 电厂,"电厂, 电站, 发电厂, 电力设施, 能源设施",entity
67. SIHUI_2 电厂,"电厂, 机组, 能源设施, 发电厂, 电力系统",entity
CHANGXING_1 电厂,"电厂, 机组, 设施, 电力系统, 发电站, 装置",entity
XB01,"测点, 代码, 标识, 设备, 传感器",entity
50 区域,"区域, 地区, 空间, 范围, 地点",entity
GEN. GCB FAILURE PROTECTION CH.B,"组件, 模块, 传感器, 设备, 系统, 信号点",entity
MAY 主系统,"系统, 主机, 控制, 平台, 软件, 模块",entity
20LAE90CF101_COMP,"编码, 代码, 标识, 系统, 项目, 代码标识",entity
SGC.CHUZHOU_1.10MBH22CP102XQ01,"设备, 系统, 产品, 机器, 模块",entity
%,"百分比, 比率, 比例, 单位, 数值",entity
10HAD55AA101XQ11XQ12,"测点, 编码, 标识, 系统, 数据, 代码",entity
部署,"配置, 安排, 布置, 实施, 派遣",relation
功能描述为,"实现功能, 执行作用, 承担职责, 提供服务",relation
核心 KKS 码为,"核心标识, 关键编码, 核心代码, 标识关联",relation
测量值单位为,"单位, 测量单位, 单位制, 量纲, 标准单位",relation
划分有,"划分, 分割, 包含, 分类, 划分范围",relation
包含,"包含, 包括, 涵盖, 容纳, 包含在内",relation
的核心KKS码为,"核心标识, 核心编码, 主要代码, 核心码",relation
用于监测,"监测用途, 监控功能, 用于检测, 侦测工具",relation
位于,"在...之中, 处于, 置于, 定位, 所在地",relation
无效代码标识为,"标记为无效, 识别为无效, 标注为错误, 标示为非法",relation
设备类型是,"设备类别, 类型归属, 设备分类, 属于类型",relation
用于监测的设备类型为,"监测设备, 检测装置, 监控工具, 传感装置, 测量仪器",relation
用于监测设备,"监测工具, 监测装置, 监测设备, 监测系统",relation
配置,"设置, 安排, 配备, 布置",relation
用于监测的设备序列号为,"监测设备编号, 监测用序列号, 设备监测标识, 监测编号关联",relation
划分,"分割, 划分范围, 区分, 分类, 划分界限",relation
设备序列号是,"序列标识, 设备唯一码, 唯一识别码, 设备编码",relation
