name:ID,type,concepts,synsets,numeric_id,:LABEL
10MBH22CP102XQ01,entity,[],[],77,Node
SGC.CHUZHOU_1.10MBH22CP102XQ01,entity,[],[],78,Node
YIXING_1 电厂,entity,[],[],79,Node
MAV 主系统,entity,[],[],80,Node
21 区域,entity,[],[],81,Node
设备 AP022,entity,[],[],82,Node
AP,entity,[],[],83,Node
022,entity,[],[],84,Node
测点SGC.YIXING_1.10MAV21AP022YB02,entity,[],[],85,Node
10MAV21AP022YB02,entity,[],[],86,Node
YB02,entity,[],[],87,Node
SGC.YIXING_1.10MAV21AP022YB02,entity,[],[],88,Node
JIANGYIN_2 电厂,entity,[],[],89,Node
12 区域,entity,[],[],90,Node
设备 CY011,entity,[],[],91,Node
CY,entity,[],[],92,Node
011,entity,[],[],93,Node
测点SGC.JIANGYIN_2.20MAD12CY011XQ01,entity,[],[],94,Node
20MAD12CY011XQ01,entity,[],[],95,Node
ST AX BRG S POSN,entity,[],[],96,Node
mm,entity,[],[],97,Node
SGC.JIANGYIN_2.20MAD12CY011XQ01,entity,[],[],98,Node
CJA 主系统,entity,[],[],99,Node
00 区域,entity,[],[],100,Node
设备 DT100,entity,[],[],101,Node
DT,entity,[],[],102,Node
100,entity,[],[],103,Node
测点SGC.CHANGXING_1.10CJA00DT100STORE,entity,[],[],104,Node
10CJA00DT100STORE,entity,[],[],105,Node
STORE,entity,[],[],106,Node
UNIT TEMP SETP GT,entity,[],[],107,Node
测点SGC.YIXING_1.10MAA50EZ621_XK94,entity,[],[],108,Node
_XK94,entity,[],[],109,Node
EZ621,entity,[],[],110,Node
EZ,entity,[],[],111,Node
621,entity,[],[],112,Node
50 区域,entity,[],[],113,Node
MAA 主系统,entity,[],[],114,Node
67. SIHUI_2 电厂,entity,[],[],115,Node
MBA 主系统,entity,[],[],116,Node
26 区域,entity,[],[],117,Node
设备 CT108,entity,[],[],118,Node
108,entity,[],[],119,Node
测点SGC.SIHUI_2.20MBA26CT108AXQ01,entity,[],[],120,Node
20MBA26CT108AXQ01,entity,[],[],121,Node
AXQ01,entity,[],[],122,Node
TURBINE EXHAUST GAS TEMP A 8,entity,[],[],123,Node
°,entity,[],[],124,Node
CT108,entity,[],[],125,Node
SIHUI_2 电厂,entity,[],[],126,Node
68. GANLU_1 电厂,entity,[],[],127,Node
设备 AA102,entity,[],[],128,Node
测点SGC.GANLU_1.10MBH22AA102XC91,entity,[],[],129,Node
10MBH22AA102XC91,entity,[],[],130,Node
XC91,entity,[],[],131,Node
COOL. AIR FLAP 2 STAGE 2 CONTROL,entity,[],[],132,Node
AA102,entity,[],[],133,Node
GANLU_1 电厂,entity,[],[],134,Node
69. FENGQUAN_1 电厂,entity,[],[],135,Node
设备 AH001,entity,[],[],136,Node
AH,entity,[],[],137,Node
测点SGC.FENGQUAN_1.10MBV10AH001ZV60,entity,[],[],138,Node
10MBV10AH001ZV60,entity,[],[],139,Node
ZV60,entity,[],[],140,Node
LUBE OIL HEATER TRIP,entity,[],[],141,Node
AH001,entity,[],[],142,Node
FENGQUAN_1 电厂,entity,[],[],143,Node
设备 EZ245,entity,[],[],144,Node
245,entity,[],[],145,Node
测点SGC.FENGQUAN_2.20MKY01EZ245XB01,entity,[],[],146,Node
20MKY01EZ245XB01,entity,[],[],147,Node
XB01,entity,[],[],148,Node
GEN. GCB FAILURE PROTECTION CH.B,entity,[],[],149,Node
SGC.FENGQUAN_2.20MKY01EZ245XB01,entity,[],[],150,Node
FENGQUAN_2 电厂,entity,[],[],151,Node
MKY 主系统,entity,[],[],152,Node
