node,conceptualized_node,node_type
顺时针旋紧 MBA54AA192，并回退半圈。,"旋紧, 回退, 调整, 安装, 紧固",event
在对系统进行排气操作之前，应检查如下设置：泵入口管的截止阀门打开。,"排气操作, 系统检查, 阀门状态, 安全准备, 流体控制",event
处理液压流体前必须阅读并遵守相关安全数据单的要求。,"安全操作, 风险防范, 规范流程, 信息遵循, 危险品管理",event
以防止电击事故。,"安全防护, 防触电, 电气安全, 绝缘, 保护措施",event
以防止火灾或爆炸风险。,"预防, 安全措施, 风险控制, 保障, 防范",event
一定不要使用氧气或压缩空气填充蓄能器。,"禁止充气, 安全操作, 风险控制",event
警告信息按危险程度由高到低排列，表示可能导致死亡或严重人体伤害。,"危险警示, 严重伤害, 死亡风险, 安全警告, 风险等级",event
在拆包后，必须立即检查模块外观和连接接口。,"检查, 拆包, 模块, 接口, 外观",event
燃机RDS模块安装调试手册的文件类型为系统代码J11。,"系统代码, 安装手册, 调试文档, 技术文件, rds模块",event
如果在球阀闭合的情况下操作泵，即时时间很短，也会损坏泵。,"操作错误, 设备损坏, 安全隐患, 流体控制, 过载保护",event
安全数据单中说明了流体接触皮肤、眼睛或嘴部的处理方法。,"应急处理, 安全防护, 化学暴露, 危险应对, 操作指南",event
泵入口管的截止固件MBA51AA252必须处于打开状态。,"操作要求, 管道控制, 安全状态, 设备配置, 开启指令",event
步骤5：在取下填充器之前，释放氮气管道的压力或关闭填充器处的氮气管道。,"泄压, 关闭, 安全操作, 气体控制, 防护措施",event
在进行所有维护或维修工作之前，必须释放流体侧的压力。,"压力释放, 维护安全, 流体控制, 操作规程, 预防措施",event
步骤2：将填充器连接到蓄能器填充阀。,"连接, 充能, 操作, 安装, 阀门",event
液压流体溢出必须立即按照安全数据单要求进行吸附处理并清除。,"泄漏处理, 安全操作, 应急响应, 化学防护, 环境保护",event
顺时针旋紧 MBA51AA191 至紧，并回退半圈。,"旋紧, 回退, 安装, 紧固, 调整",event
顺时针锁紧 MBA51AA191 的锁紧螺母，至此 MBA51AA191 整定完毕。,"锁紧, 整定, 调试, 安装, 固定",event
因此必须非常缓慢地打开管路和阀门，逐渐释放压力。,"缓慢开启, 压力释放, 逐步调节, 安全操作, 控制流程",event
必须遵照相关说明，尤其要遵守氮气填充器制造商给出的安全须知。,"安全操作, 使用规范, 氮气填充, 防护措施, 说明遵守",event
燃机RDS模块安装调试手册的编制人员为周蕾、张洁、刘海博、孙博。,"编制, 调试, 手册, 人员, 安装",event
对于溢出的液压流体，必须按照液压流体安全数据单的规定立即进行吸附处理并将其除去。,"泄漏处理, 安全处置, 环境防护, 应急响应, 危险物质",event
管道的冲洗及清洁度非 SGC 负责。,"责任划分, 清洁维护, 管道管理, 服务范围, 职责边界",event
否则可能导致爆炸或喷射事故。,"危险, 爆炸, 喷射, 事故, 安全隐患",event
燃机RDS模块安装调试手册的版本为00。,"版本00, 安装手册, 调试文档, rds模块",event
燃机RDS模块安装调试手册的版本修改描述为初版[默认]。,"初版, 版本更新, 安装手册, 调试文档, 默认版本",event
以确认设备在运输过程中未受损。,"检查, 验收, 保护, 安全, 运输",event
溢出的液压流体会导致滑倒危险。,"液体泄漏, 滑倒风险, 安全隐患, 事故预防, 危险源",event
只能使用纯度不低于99.995%的氮气填充蓄能器。,"气体填充, 高纯度, 蓄能, 密封, 压力控制",event
必须保证有所需的氮气压力。,"压力保障, 氮气供应, 安全操作, 系统稳定, 压力控制",event
针对每个管道的冲洗操作应以达到所需的纯度为标准。,"冲洗标准, 纯度控制, 流体净化, 操作规范, 清洗验证",event
步骤6：取下填充器。,"取下, 拆卸, 操作, 零件, 机械",event
使用氮气填充了蓄能器。,"充气, 储能, 加压, 气体填充, 压力维持",event
关于与填充器相关的详细操作信息，请参见填充器操作须知。,"填充操作, 操作须知, 使用指南, 设备操作, 详细说明",event
防止绷紧带末端松开晃动，避免伤及人体。,"固定, 防松, 安全, 稳定, 保护",event
需要冲洗RDS上的供给管道HD / 637B和HE/638B。,"冲洗, 管道维护, 设备清洁, 流体系统, 检修操作",event
在存在剩余压力的情况下，传感器零区和压力计不精确会导致无法读取压力。,"测量误差, 压力读数, 零点漂移, 传感器偏差, 精度失效",event
否则可能导致爆炸或液压流体喷溅，造成严重事故。,"危险, 事故, 安全隐患, 损伤, 爆炸风险",event
在调试前必须检查所有液压连接。,"检查, 调试, 液压, 连接, 预防",event
应定期检查系统是否有损坏或故障。,"维护, 检测, 故障排查, 预防性检查, 系统健康",event
在排气过程中不需要使用蓄能器，因此蓄能器三通阀MBA51AA255和MBA51AA256无需操作。,"排气, 无需操作, 节能, 系统简化, 流程优化",event
在对 RDS 进行排气操作之前，必须完成检查。,"检查, 排气, 安全, 操作, 准备",event
电磁阀 MBA53AA001 和 MBA53AA003 通电。,"通电, 控制, 操作, 信号, 执行",event
如果有泄漏，必须马上修复。,"泄漏, 修复, 安全, 防控, 应急",event
警告信息表示可能导致轻度人体伤害。,"安全警示, 伤害风险, 注意事项, 风险提示, 警告标志",event
在进行调整或维修工作时必须使用合适的工具和设备。,"工具使用, 维修作业, 安全操作, 专业维护, 技术保障",event
在起吊模块前，必须确认模块重心在支架范围内。,"重心控制, 安全确认, 吊装准备, 稳定性检查, 模块定位",event
只有在确保运输路线和安装地点为 RDS 提供了足够空间的情况下，才能将其运输到安装地点。,"空间保障, 运输条件, 安装准备, 位置规划, 设备安置",event
在填充或置换运行介质期间禁止吸烟和明火。,"安全禁令, 明火禁止, 介质处理, 防爆措施, 危险防范",event
蓄能器系统在开路状态下放电可能导致爆炸。,"放电, 爆炸, 蓄能, 安全隐患, 电路故障",event
起吊操作必须听从负责起吊安全的安全检查员的统一指挥。,"指挥, 安全, 协作, 操作, 监督",event
泵入口管的截止固件MBA51AA251必须处于打开状态。,"开启, 控制, 流体, 管道, 安全",event
打开管道和阀门的时候，速度要特别慢，以便缓慢释放压力。,"缓慢释放, 压力控制, 操作安全, 逐步开启, 防爆措施",event
以确保系统安全，防止压力异常造成危险。,"安全防护, 压力控制, 风险防范, 系统稳定, 异常检测",event
如果压力过大，可能损坏设备。,"压力, 损坏, 设备故障, 超载, 破坏",event
可以启动两个泵中的一个从而启动 RDS 模块。,"启动, 控制, 模块, 运行, 激活",event
缓慢将 MBA54AA192 顺时针旋紧，压力表每上升 10bar 需停顿 10S。,"旋紧, 压力上升, 停顿, 操作, 控制",event
在起吊操作前，须确认操作区域内无人员。,"安全确认, 操作准备, 区域清场, 作业规范, 人员撤离",event
如果电机连接有误，可能因为电击而发生事故。,"电击, 事故, 连接错误, 安全隐患, 电气故障",event
必须由专业电气人员来完成连接。,"专业操作, 电气连接, 安全规范, 技术要求",event
冲洗了整个系统。,"清洗, 清理, 排除, 冲刷, 消除",event
否则系统可能因污染而损坏。,"污染, 损坏, 系统故障, 危害, 风险",event
只有当没有液压流体溢出且无剩余压力时，才能完全打开管路或拆下阀门。,"安全操作, 防护措施, 压力释放, 液压系统, 拆卸规程",event
释放系统压力的操作顺序：打开阀 MBA51AA255 和 MBA51AA256，将蓄能器压力释放到罐中。,"泄压, 操作, 系统安全, 压力释放, 控制",event
燃机RDS模块安装调试手册的产品/结构为AE94.3A/AE94.2。,"安装调试, 模块结构, 产品手册",event
未经上海电气燃气轮机有限公司书面同意，不得擅自复制、转让、披露或提供燃机RDS模块安装调试手册。,"保密, 限制, 知识产权, 保护, 许可",event
需要冲洗RDS上的返回管道HF / 639B。,"清洗, 管道维护, 流体处理, 设备保养, 清洁流程",event
液压流体喷溅会产生危险，可能导致伤害或火灾。,"危险, 喷溅, 火灾, 伤害, 流体",event
如果使用不当的气体填充，则有爆炸风险。,"气体填充, 爆炸风险, 安全隐患, 操作失误, 危险物质",event
在给 RDS 加压之前，应检查如下设置：泵入口管的截止阀门打开。,"加压前检查, 泵入口阀, 安全操作, 设备准备, 系统检查",event
在短时间内依次重新开关两个电机以检查旋转方向是否符合箭头方向。,"测试, 重启, 检查, 电机, 方向确认",event
需要冲洗到轮机的操作管道HS1 / 643A、HS2 / 642A、NS1 / 644A和NS2 / 645A。,"冲洗, 管道维护, 操作流程, 清洗, 设备保养",event
步骤4：确定在操作温度以外的其它温度下的填充压力。,"温度影响, 压力设定, 操作范围, 热力学参数, 填充控制",event
逆时针旋转 MBA53AA191 每下降 5bar 停顿 20S，直至压力表读数为 210bar。,"旋转控制, 压力下降, 停顿操作, 压力调节, 机械流程",event
在设置液压连接线路前，必须确保管道已冲洗完毕。,"准备工作, 管道清洁, 安全操作, 连接前检查, 流体系统准备",event
在对系统进行排气操作之前，应检查泵入口管的截止阀门MBA51AA251和MBA51AA252是否打开。,"排气, 检查, 阀门, 操作, 安全",event
顺时针锁紧 MBA54AA192 的锁紧螺母。至此 MBA54AA192 整定完毕。,"锁紧, 整定, 调试, 安装, 固定",event
确定每个泵从 p1 到 p2 的填充时间。,"填充时间, 流体传输, 泵操作, 时间计算, 液体输送",event
制造商已经冲洗了RDS，不需要再对RDS进行冲洗处理。,"冲洗完成, 处理终止, 工艺结束, 无需操作, 流程终止",event
只有在相关球阀MBA51AA251或MBA51AA252打开的情况下，才能启动泵。,"启动条件, 阀门控制, 安全联锁, 流体传输, 设备启停",event
步骤3：填充皮囊式蓄能器。,"填充, 蓄能, 气体储存, 压力调节, 液压系统",event
步骤1：切换蓄能器三通阀MBA51AA255和MBA51AA256以释放蓄能器流体侧的压力并将其与系统隔离。,"隔离, 泄压, 操作, 控制, 安全",event
在连接到 RDS 之前，要连接的管道应该已经冲洗完毕。,"管道冲洗, 预处理, 安全连接, 流体系统, 准备工作",event
所有非由模块部件缺陷引起的运行失效和/或损坏均不在质保范围内。,"质保范围, 运行失效, 损坏排除, 非缺陷责任, 维修免责",event
上海电气燃气轮机有限公司拥有燃机RDS模块安装调试手册的产权。,"知识产权, 技术文档, 产权归属, 专有技术, 模块手册",event
如果旋转方向有误，应重新连接相应的电机。,"错误纠正, 电机连接, 旋转调整, 机械操作, 修复步骤",event
必须非常缓慢地打开管路和阀门，逐渐释放压力。,"缓慢开启, 压力释放, 操作安全, 逐步调节",event
在打开管路或拆卸阀门时如果有油体流出，表示有剩余压力。,"压力释放, 油液渗漏, 安全警示, 压力检测, 操作风险",event
氮气填充器,"设备, 工具, 机械, 装置, 器具, 仪器",entity
液压流体喷溅,"流体喷溅, 液压风险, 安全隐患, 事故诱因",entity
MBA51AA251,"阀门, 设备, 机械, 零件, 工业部件, 控制阀",entity
环境温度0°C至40°C,"温度范围, 环境条件, 气候参数, 工作环境",entity
MBA51AP002-KP01 + MBA51AP002-M02-E01,"模块, 组件, 系统, 设备, 部件, 装置",entity
36个月,"时间, 期限, 周期, 时长",entity
电磁阀 MBA53AA005,"阀门, 控制器, 零件, 机械部件, 工业设备, 电磁装置",entity
26,"数字, 页码, 范围",entity
压力表 MBA51CP502,"仪表, 压力计, 设备, 传感器, 测量工具",entity
燃机RDS模块安装调试手册,"手册, 指南, 技术文档, 操作规范, 调试说明, 安装指南",entity
连接,"连接, 关联, 联结, 接口, 互动, 通讯",entity
清洁度,"清洁, 卫生, 标准",entity
MBA53AA002-Y01-S11,"模块, 零件, 组件, 设备, 部件, 产品",entity
蓄能器系统,"装置, 系统, 机械, 能量存储, 液压设备",entity
污染,"污染, 环境问题, 危害, 污染源, 污染物",entity
测量仪器管道,"仪器, 管道, 设备, 系统, 测量, 机械",entity
所有液压连接,"连接, 液压, 接头, 系统, 部件",entity
氧气,"气体, 元素, 物质, 呼吸, 化学, 氧化",entity
截止阀门,"阀门, 控制装置, 机械部件, 安全装置, 流体控制, 闭锁元件",entity
管路,"管道, 管道系统, 流体通道, 传输路径, 管道结构",entity
孙博,"人物, 工程师, 技术人员, 项目成员",entity
蓄能器,"装置, 设备, 机械, 储能, 压力容器",entity
高火灾风险的环境,"高风险, 环境, 灾害隐患, 易燃区域",entity
MBA51BB002,"模块, 设备, 零件, 组件, 装置, 元件",entity
节流阀 MBA54AA281,"阀门, 控制装置, 流量调节器, 机械部件, 工业元件",entity
存在爆炸风险的环境,"危险环境, 高风险区域, 安全隐患, 爆炸风险, 限制场所",entity
电磁换向球阀 MBA53AA002,"阀门, 控制装置, 流体元件, 工业部件, 机电设备, 气动元件",entity
操作管道 HS2 / 642A,"管道, 系统, 设备, 工程, 流体, 传输, 机械",entity
至少1米,"距离, 尺寸, 高度, 规格",entity
传感器零区,"传感器, 零区, 压力, 精度, 测量",entity
2,"数字, 数值, 等级, 保密等级, 代码",entity
HS2 / 642A,"管道, 系统, 设备, 机械, 通道, 流体, 管路",entity
辅助推力端管道 NS4 / 645A,"管道, 阀门, 系统, 设备, 机械, 控制, 机构",entity
溢流阀 MBA53AA191,"阀门, 压力控制, 工业部件, 机械元件, 控制装置",entity
操作不当造成损坏,"损坏, 故障, 失效, 损毁, 事故",entity
警告信息,"警告, 信息, 提示, 警示, 通知",entity
MBA53AA282,"模块, 零件, 装置, 组件, 设备, 系统",entity
所有部件处于安全状态,"安全, 状态, 确认, 检查",entity
接口HE的给压,"接口, 压力, 模块, 调试, 检查",entity
节流阀 MBA53AA281,"阀门, 设备, 控制器, 机械部件, 流量装置",entity
SGC手册,"手册, 规范, 指南, 文件, 操作规程",entity
电击,"电击, 电流, 伤害, 事故, 电压",entity
制造商,"生产者, 制造商, 企业, 工厂, 供应商, 机构",entity
压力变送器 MBA51CP101,"传感器, 仪表, 监测设备, 工业部件, 控制元件, 测压装置",entity
运行介质温度低于30℃,"温度, 环境, 条件, 参数",entity
处理,"处理, 操作, 过程, 动作, 处置",entity
正常功能,"功能, 正常, 操作, 状态",entity
MBA51AP001-KP01 + MBA51AP001-M01-E01,"模块, 组件, 部件, 系统, 设备, 零件",entity
压力计,"仪器, 测量设备, 传感器, 压力检测, 仪表",entity
系统,"系统, 机制, 结构, 功能, 平台",entity
2023.05,"月份, 时间, 日期, 年月",entity
供给管道 HE / 638B,"管道, 系统, 设施, 通道, 传输, 管路",entity
4 L/min,"流量, 流速, 参数, 设定值",entity
压力表 MBA51CP501,"仪表, 压力检测, 测量设备, 工业仪器, 传感器",entity
电机,"电机, 机械, 动力装置, 电器, 装置, 机器",entity
ISO VG46,"标准, 液压油, 规格, 油品, 指标",entity
未通电,"断电, 未供电, 停电, 无电状态",entity
中文,"语言, 语种, 文字, 书写系统",entity
固定水平面,"平面, 水平面, 参考面, 几何面, 基准面",entity
压力变送器 MBA51CP103,"传感器, 仪器, 设备, 监测装置, 工业部件",entity
吸附处理,"吸附, 处理, 清理, 应急, 安全, 污染控制",entity
系统压力,"压力, 状态, 负荷, 指标",entity
仪表针阀 MBA51AA305,"阀门, 仪器, 零件, 设备, 控制装置, 机械部件",entity
MBA51AA193,"模块, 设备, 零件, 组件, 装置",entity
张洁,"人物, 作者, 编制者, 专业人员, 技术人员",entity
210 bar,"压力, 压强, 参数, 设定值",entity
箭头,"方向, 指示, 标志, 符号, 箭头, 指向",entity
泵 MBA51AP002-KP01,"泵, 设备, 机器, 仪器, 机械, 零件",entity
蓄能器三通阀 MBA51AA256,"阀门, 设备, 机械, 零件, 控制阀, 工业部件",entity
所有电气连接,"连接, 电路, 接口, 电气系统, 信号传输",entity
溢流阀 MBA51AA192,"阀门, 压力控制, 工业部件, 机械元件, 控制装置",entity
严重人体伤害,"伤害, 危险, 损害, 事故",entity
辅助推力端管道 NS3 / 644A,"管道, 阀门, 系统, 设备, 机械, 控制, 部件",entity
电磁阀 MBA53AA003,"阀门, 零件, 设备, 机械部件, 控制装置, 工业组件",entity
安全检查员指挥,"指挥, 指令, 操作, 安全, 管理, 人员",entity
MBA53AA301,"设备, 仪器, 固件, 管道, 操作, 测量, 代码",entity
MBA51AA252,"部件, 零件, 设备, 机械, 附件, 组件",entity
说明,"说明, 指导, 指示, 规则, 要求",entity
节流阀 MBA53AA282,"阀门, 控制器, 流量装置, 机械部件, 工业设备",entity
安全措施,"防护, 保障, 防范, 控制, 保护, 防御",entity
调试,"调试, 修复, 排错, 诊断, 检测",entity
蓄能器填充阀,"阀门, 装置, 部件, 机械, 元件, 接口",entity
存在有毒性气体的环境,"危险环境, 有毒空间, 危害区域, 污染场所",entity
MBA53AA003-Y01-S11,"模块, 零件, 组件, 设备, 系统, 产品",entity
溢出,"溢出, 流体, 气泡, 现象, 液压, 过程",entity
填充压力,"压力, 填充, 温度, 参数, 工况",entity
电磁换向球阀 MBA53AA003,"阀门, 气动元件, 控制装置, 机械部件, 工业设备, 流体控制",entity
操作须知,"指南, 说明, 规则, 操作, 指引",entity
死亡,"终结, 消亡, 停止, 终结生命, 无生",entity
排气操作,"排气, 操作, 流体, 管道, 测量, 设备",entity
上海电气燃气轮机有限公司,"公司, 企业, 制造商, 设备商, 电力设备, 燃气轮机, 工业企业",entity
MBA53AA001-Y01-S21,"模块, 零件, 组件, 设备, 产品",entity
MBA53AA191,"模块, 设备, 零件, 组件, 装置",entity
管道,"管道, 通道, 传输, 设施, 系统",entity
溢流阀 MBA51AA191,"阀门, 压力控制, 机械部件, 工业设备, 控制装置",entity
NS1 / 644A,"管道, 系统, 设备, 机械, 工程, 管路",entity
氮气填充蓄能器,"设备, 器件, 液压元件, 能量存储, 工业组件",entity
60°,"角度, 夹角, 度数",entity
填充,"填充, 操作, 过程, 步骤",entity
MBA53AA281,"模块, 部件, 设备, 零件, 组件, 装置",entity
液压流体溢出,"流体泄漏, 压力释放, 安全操作, 危险源, 工业风险",entity
压力变送器 MBA51CP102,"传感器, 仪器, 设备, 仪表, 监测装置, 工业部件",entity
泵入口管截止阀 MBA51AA252,"阀门, 管道, 设备, 控制阀, 机械部件",entity
压力,"压力, 力量, 负荷, 状态, 紧张",entity
皮肤,"器官, 组织, 保护层, 外皮, 生物屏障",entity
24个月,"时间段, 期限, 周期, 时长",entity
溢流阀 MBA51AA194,"阀门, 压力控制, 机械部件, 工业设备, 控制阀",entity
未正确连接管道至用户机组,"管道连接, 系统故障, 安装错误, 连接问题",entity
压力变送器 MBA51CP002,"传感器, 仪器, 设备, 仪表, 测量装置, 工业部件",entity
异常,"异常, 问题, 异状, 偏离, 失常",entity
电磁换向球阀 MBA53AA001,"阀门, 控制装置, 流体元件, 机电部件, 工业设备, 管道组件",entity
阀门,"阀门, 控制装置, 流体设备, 机械部件, 安全装置, 管道组件",entity
仪表针阀 MBA51AA302,"阀门, 仪表, 控制装置, 机械部件, 工业设备",entity
擅自改造模块,"改造, 模块, 未经授权, 变更, 破坏, 失效",entity
溢流阀 MBA54AA191,"阀门, 压力控制, 机械部件, 工业设备, 控制阀",entity
系统冲洗,"冲洗, 系统, 流程, 操作",entity
氮气管道,"管道, 气体输送, 工业设施, 管路系统, 压力容器",entity
溢流阀 MBA51AA193,"阀门, 压力控制, 工业部件, 机械装置, 控制阀",entity
泵出口压力,"压力, 流体, 动力, 机械, 传输",entity
HS1 / 643A,"管道, 系统, 设备, 管路, 工程, 机械",entity
MBA53AA005-Y01-S21,"模块, 零件, 设备, 组件, 产品",entity
AE94.3A/AE94.2,"型号, 产品, 模块, 设备, 结构, 系统, 组件",entity
泵入口管截止阀 MBA51AA251,"阀门, 管道, 设备, 控制, 机械, 零件",entity
安全须知,"安全, 规则, 指导, 注意事项, 规范",entity
轻度人体伤害,"伤害, 伤害风险, 人身安全, 健康风险",entity
